award_id,piid,referenced_idv_piid,award_type,awardee_name_raw,awardee_name_clean,awardee_uei,awarding_agency_raw,awarding_agency_clean,awarding_subagency_raw,awarding_subagency_clean,funding_agency_clean,date_signed,total_obligated_amount,potential_value,pop_start_date,pop_current_end_date,pop_potential_end_date,naics,psc,description_raw,extent_competed,extent_competed_code,type_of_contract_pricing,type_of_contract_pricing_code,type_of_set_aside,type_of_set_aside_code,number_of_offers_received,base_and_all_options_value,place_of_performance_state,missing_end_date_flag,missing_vendor_flag,missing_agency_flag,data_quality_notes,source_system,cyber_it_flag,cyber_flag,it_services_flag,cloud_flag,data_analytics_flag,software_dev_flag,network_ops_flag,help_desk_flag,compliance_security_flag,classification_confidence,classification_reason
SAMPLE-001,W91-0001,,DEFINITIVE CONTRACT,ACME CYBER LLC,ACME CYBER LLC,UEI0001,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2023-01-15,5200000.0,7280000.0,2023-01-15,2026-10-01,2026-10-01,541512,D307,"Cybersecurity compliance, RMF support, and security operations center (SOC) services",FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,7280000.0,VA,False,False,False,,SYNTHETIC_SAMPLE,True,True,False,False,False,False,False,False,True,High,"NAICS 541512 relevant + PSC D307 relevant + keyword match (['rmf', 'security operations center', 'soc'])"
SAMPLE-002,W91-0002,,DEFINITIVE CONTRACT,ACME CYBER LLC,ACME CYBER LLC,UEI0001,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2023-01-15,1100000.0,1540000.0,2023-01-15,2027-05-01,2027-05-01,541519,D399,Help desk and end user support services for enterprise IT,NOT AVAILABLE FOR COMPETITION,B,FIRM FIXED PRICE,J,,,,1540000.0,VA,False,False,False,,SYNTHETIC_SAMPLE,True,False,True,False,False,False,False,True,False,High,"NAICS 541519 relevant + PSC D399 relevant + keyword match (['help desk', 'end user support'])"
SAMPLE-003,W91-0003,,DEFINITIVE CONTRACT,ACME CYBER LLC,ACME CYBER LLC,UEI0001,Department of Defense,DEPARTMENT OF DEFENSE,Defense Health Agency,DEFENSE HEALTH AGENCY,DEPARTMENT OF DEFENSE,2023-01-15,12500000.0,17500000.0,2023-01-15,2027-10-15,2027-10-15,541512,D307,Cloud migration and enterprise architecture IT modernization,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,17500000.0,MD,False,False,False,,SYNTHETIC_SAMPLE,True,False,True,True,False,False,False,False,False,High,"NAICS 541512 relevant + PSC D307 relevant + keyword match (['cloud migration', 'it modernization', 'enterprise architecture'])"
SAMPLE-004,N00-0100,,DEFINITIVE CONTRACT,MERIDIAN DEFENSE GROUP,MERIDIAN DEFENSE GROUP,UEI0002,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2023-01-15,28000000.0,39200000.0,2023-01-15,2028-03-01,2028-03-01,541512,DH01,Zero trust cloud security and identity and access management (IAM),FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,39200000.0,CA,False,False,False,,SYNTHETIC_SAMPLE,True,True,False,True,False,False,False,False,False,High,"NAICS 541512 relevant + PSC DH01 relevant + keyword match (['identity and access management', 'cloud security', 'zero trust'])"
SAMPLE-005,N00-0101,,DEFINITIVE CONTRACT,MERIDIAN DEFENSE GROUP,MERIDIAN DEFENSE GROUP,UEI0002,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2023-01-15,3400000.0,4760000.0,2023-01-15,2027-01-20,2027-01-20,518210,D316,"Network operations and infrastructure support, data center services",NOT COMPETED,C,FIRM FIXED PRICE,J,,,,4760000.0,VA,False,False,False,,SYNTHETIC_SAMPLE,True,False,True,False,False,False,True,False,False,High,"NAICS 518210 relevant + PSC D316 relevant + keyword match (['data center', 'infrastructure support', 'network operations'])"
SAMPLE-006,F33-0200,,DEFINITIVE CONTRACT,NORTHSTAR IT SOLUTIONS,NORTHSTAR IT SOLUTIONS,UEI0003,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2023-01-15,8900000.0,12460000.0,2023-01-15,2027-08-01,2027-08-01,541512,DF01,"CMMC and NIST compliance, FISMA continuous monitoring, SIEM operations",FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,12460000.0,CO,False,False,False,,SYNTHETIC_SAMPLE,True,True,False,False,False,False,False,False,True,High,"NAICS 541512 relevant + PSC DF01 relevant + keyword match (['siem', 'cmmc', 'fisma'])"
SAMPLE-007,F33-0201,,DEFINITIVE CONTRACT,NORTHSTAR IT SOLUTIONS,NORTHSTAR IT SOLUTIONS,UEI0003,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2023-01-15,6100000.0,8540000.0,2023-01-15,2029-01-01,2029-01-01,541519,D399,Software development and DevSecOps application development services,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,,8540000.0,TX,False,False,False,,SYNTHETIC_SAMPLE,True,False,True,False,False,True,False,False,False,High,"NAICS 541519 relevant + PSC D399 relevant + keyword match (['software development', 'application development', 'devsecops'])"
SAMPLE-008,DISA-0300,,DEFINITIVE CONTRACT,SUMMIT TECHNOLOGIES INC,SUMMIT TECHNOLOGIES INC,UEI0004,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2023-01-15,15750000.0,22050000.0,2023-01-15,2027-03-10,2027-03-10,541513,D316,Managed services and systems administration for DISA enterprise,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,22050000.0,VA,False,False,False,,SYNTHETIC_SAMPLE,True,False,True,False,False,False,False,False,False,High,"NAICS 541513 relevant + PSC D316 relevant + keyword match (['systems administration', 'managed services'])"
SAMPLE-009,DISA-0301,,DEFINITIVE CONTRACT,SUMMIT TECHNOLOGIES INC,SUMMIT TECHNOLOGIES INC,UEI0004,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2023-01-15,22300000.0,31219999.999999996,2023-01-15,2028-06-01,2028-06-01,541512,DF01,"Cyber defense operations, threat hunting, and vulnerability management",FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,31219999.999999996,MD,False,False,False,,SYNTHETIC_SAMPLE,True,True,False,False,False,False,False,False,False,High,"NAICS 541512 relevant + PSC DF01 relevant + keyword match (['threat hunting', 'vulnerability management', 'cyber defense'])"
SAMPLE-010,DHA-0400,,DEFINITIVE CONTRACT,CAPITAL CYBER PARTNERS,CAPITAL CYBER PARTNERS,UEI0005,Department of Defense,DEPARTMENT OF DEFENSE,Defense Health Agency,DEFENSE HEALTH AGENCY,DEPARTMENT OF DEFENSE,2023-01-15,950000.0,1330000.0,2023-01-15,2026-11-15,2026-11-15,541611,D307,Cybersecurity compliance advisory and RMF authorization (ATO) support,NOT AVAILABLE FOR COMPETITION,B,FIRM FIXED PRICE,J,,,,1330000.0,DC,False,False,False,,SYNTHETIC_SAMPLE,True,True,False,False,False,False,False,False,True,Medium,"PSC D307 relevant + keyword match (['rmf', 'cybersecurity', 'ato'])"
SAMPLE-011,W91-0500,,DEFINITIVE CONTRACT,BLUE RIDGE ANALYTICS,BLUE RIDGE ANALYTICS,UEI0006,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2023-01-15,2750000.0,3849999.9999999995,2023-01-15,2027-06-30,2027-06-30,541519,D399,"Data analytics, Power BI dashboards, and database administration",NOT COMPETED,C,FIRM FIXED PRICE,J,,,,3849999.9999999995,GA,False,False,False,potential end date estimated from base plus options,SYNTHETIC_SAMPLE,True,False,True,False,True,False,False,False,False,High,"NAICS 541519 relevant + PSC D399 relevant + keyword match (['data analytics', 'database administration'])"
SAMPLE-012,N00-0600,,DEFINITIVE CONTRACT,BLUE RIDGE ANALYTICS,BLUE RIDGE ANALYTICS,UEI0006,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2023-01-15,4300000.0,6020000.0,2023-01-15,2028-02-01,2028-02-01,541512,R425,Engineering and technical services with cyber systems security engineering,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,,6020000.0,AL,False,False,False,,SYNTHETIC_SAMPLE,True,True,False,False,False,False,False,False,False,Medium,NAICS 541512 relevant + keyword match (['cyber'])
SAMPLE-013,F33-0700,,DEFINITIVE CONTRACT,PATRIOT DIGITAL SERVICES,PATRIOT DIGITAL SERVICES,UEI0007,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2023-01-15,3900000.0,5460000.0,2023-01-15,,,541512,9999,Enterprise IT support and telecom managed services,NOT COMPETED,C,FIRM FIXED PRICE,J,,,,5460000.0,TX,True,False,False,,SYNTHETIC_SAMPLE,True,False,True,False,False,False,False,False,False,Medium,"NAICS 541512 relevant + keyword match (['it support', 'telecom', 'managed services'])"
SAMPLE-014,W91-0800,,DEFINITIVE CONTRACT,PATRIOT DIGITAL SERVICES,PATRIOT DIGITAL SERVICES,UEI0007,Department of Defense,DEPARTMENT OF DEFENSE,Department Of The Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2023-01-15,58000000.0,81200000.0,2023-01-15,2027-09-01,2027-09-01,541512,DF01,Security operations center (SOC) and endpoint detection and response (EDR),FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,81200000.0,VA,False,False,False,,SYNTHETIC_SAMPLE,True,True,False,False,False,False,False,False,False,High,"NAICS 541512 relevant + PSC DF01 relevant + keyword match (['endpoint detection', 'security operations center', 'soc'])"
